Team	Total	OpenPlay	Counter	SetPiece	PenaltyTaken	Rating
1. PSV Eindhoven	24.2	18.6	0.8	4.5	0.4	7.23
2. Feyenoord	21	14.5	0.8	5.6	0.1	7.02
3. Twente	18.4	13.1	0.5	4.8	0.1	6.73
4. Ajax	16.9	12.8	0.8	3.2	0.3	6.75
5. AZ Alkmaar	14.4	10.3	0.4	3.7	0.1	6.80
6. SC Heerenveen	13.9	9.9	0.5	3.3	0.2	6.55
7. Go Ahead Eagles	13.9	10.1	0.4	3.3	0.1	6.67
8. Sparta Rotterdam	13.4	9.3	0.7	3.1	0.3	6.71
9. Fortuna Sittard	12.6	7.9	0.3	4.1	0.3	6.55
10. PEC Zwolle	12.5	9.9	0.1	2.4	0.1	6.61
11. Almere City FC	12.4	8.4	0.7	3.2	0.1	6.54
12. RKC Waalwijk	12.2	8.4	0.6	2.9	0.2	6.49
13. FC Utrecht	11.6	7.3	0.6	3.7	0	6.52
14. Vitesse	11.6	7.1	0.7	3.8	0	6.45
15. Excelsior	11.3	8.3	1.1	1.9	0	6.64
16. NEC Nijmegen	11.2	8.3	0.4	2.4	0.1	6.69
17. Heracles	11.2	6.8	0.8	3.4	0.2	6.44
18. FC Volendam	10.1	6.8	0.4	2.8	0.1	6.49
